incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
0,0,7,66,6,0.6666666865348816,0,0,78,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,1,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
0,0,8,83,6,0.6666666865348816,1,1,86,7,2,3,2,0,0,0,0,5,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,2,82,6,0.5,1,1,72,6,3,2,3,0,0,0,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,3,48,6,0,1,1,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
0,0,3,48,6,0,0,0,44,4,2,4,2,0,0,0,0,2,0,3,0,0,1,1,0,0,0,0,1,0,0,Not Changed,Stayed Cookie
1,0,8,241,6,0.6666666865348816,0,0,271,25,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Cookie
1,0,5,38,6,0.6666666865348816,0,0,50,5,2,3,2,0,0,0,0,6,0,5,0,1,1,1,1,0,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
1,0,6,95,6,1,0,0,117,10,3,2,2,0,0,0,1,8,1,6,1,0,1,1,1,0,1,1,1,1,1,Not Changed,Stayed Cookie
1,0,6,95,6,1,0,0,117,10,3,3,2,0,0,0,1,8,1,6,0,1,1,1,1,0,1,1,1,1,1,Not Changed,Stayed Cookie
1,0,8,83,6,0.6666666865348816,0,0,86,7,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Cookie
1,0,0,136,6,0.6666666865348816,1,1,133,11,3,2,2,0,0,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,5,121,6,0.1666666716337204,0,0,113,9,3,2,2,0,0,0,1,5,1,5,1,0,1,1,1,0,1,1,1,0,0.1666666716337204,Not Changed,Stayed Cookie
1,0,2,82,6,0.5,1,1,72,6,2,3,2,0,0,0,0,6,0,2,0,1,1,1,0,1,0,0,0,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,5,121,6,0.1666666716337204,1,1,113,9,3,3,2,0,0,0,1,5,1,5,0,1,1,1,1,0,1,0,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,1,44,6,0.1666666716337204,0,1,41,4,3,3,2,1,1,0,1,5,1,1,0,1,1,1,0,0,1,0,1,0,0.1666666716337204,Cookie to Grape,Changed
1,0,1,177,6,1,0,1,170,14,2,2,2,1,1,0,0,8,0,1,1,0,1,1,0,0,1,1,0,0,0.5,Cookie to Grape,Changed
